# Data here is for the drops of V=1cm^3 (black dots in publication)
W_by_L,frequency_squared_mean,frequency_squared_lower_bound,frequency_squared_upper_bound
1.080904,13.9609,13.6514,14.2551
1.080916,13.9621,13.6526,14.2563
1.081054,13.9756,13.6656,14.2692
1.102553,15.5224,15.1988,15.7849
1.102849,15.5355,15.2122,15.7982
1.102889,15.5372,15.214,15.8
1.141814,16.9603,16.6666,17.2698
1.14196,16.9667,16.6731,17.2763
1.142113,16.9735,16.6799,17.2831
1.178478,19.1539,18.8527,19.4664
1.178656,19.1662,18.8649,19.4787
1.178672,19.1673,18.866,19.4798
